PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40622852,Arsenic trioxide could promote SARS-CoV-2 NSP12 protein degradation.,2025-Jul,Tao Yang; Hua Naranmandura,"Department of Pharmacology, Zhejiang University School of Medicine, Hangzhou 310058, PR China.",
40620653,Incomplete systemic capillary leak syndrome after COVID-19 vaccination: a case-based review.,2025,Brygida Marczyk,"Jagiellonian Centre for Experimental Therapeutics (JCET), Jagiellonian University, Krakow, Poland.",
40619617,Engineered Dual-Function Antibody-Like Proteins to Combat SARS-CoV-2-Induced Immune Dysregulation and Inflammation.,2025-Jul-06,Yizhuo Wang; Xin Liu; Kerui Hou; Chenwu Bai,"School of Pharmaceutical Sciences, Zhongnan Hospital of Wuhan University, Wuhan University, Wuhan, 430071, China.",
40618623,"Humoral, T cell and immune gene expression responses to SARS-CoV-2 vaccination in a small group of children with previous MIS-C.",2025-Jul-05,Wendy A Burgers,"Institute of Infectious Disease and Molecular Medicine, University of Cape Town, South Africa; Division of Medical Virology, Department of Pathology, University of Cape Town, South Africa; Wellcome Centre for Infectious Diseases Research in Africa, University of Cape Town, South Africa; South African Medical Research Council, Cape Town, South Africa.",kate.webb@uct.ac.za.
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025-Jul-03,Henrique Coelho de Oliveira,"Eppendorf do Brasil Ltda. Rua Presidente Antônio Candido, 80, CEP 05083-060, São Paulo, SP-Brazil.",egfnunez@usp.br.
40617091,Exposure to two antigenically distinct SARS-CoV-2 variants broadens neutralization patterns.,2025-Jul-04,Ludwig Knabl,"Tyrolpath Obrist Brunhuber GmbH, Hauptplatz 4, 6511, Zams, Austria.",Janine.Kimpel@i-med.ac.at.
40617089,Lessons learnt during establishment of COVID-19 active vaccine safety surveillance in nine African countries.,2025-Jul-04,Eunice Wangeci Kagucia; Kondwani Jambo,"Malawi-Liverpool-Wellcome Trust Clinical Research Programme, Malawi. Electronic address: kjambo@mlw.mw.; KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya. Electronic address: EKagucia@kemri-wellcome.org.",clare.cutland@wits.ac.za.
40616520,Discovery of the Clinical Candidate ,2025-Jul-05,Keiichiro Hirai; Takafumi Sato; Shota Uehara; Yuki Tachibana; Qianhui Zhang; Tetsuya Miyano; Kana Kurahashi; Shiho Yamamoto; Masayuki Takamatsu; Akihiro Hori; Reiko Dodo; Haruaki Nobori; Hiromitsu Shibayama; Yuto Unoh; Teruhisa Kato; Kenji Nakahara; Jun Sato; Sho Kawashima; Miki Tanimura; Ryosuke Watari; Yuki Maruyama,"Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.",
40614182,Safety and immunogenicity of intranasal parainfluenza virus type 5 (PIV5)-vectored COVID-19 vaccine in adults and teens in an open-label phase 1 trial.,2025-Jul-04,Ann R Falsey; Henry Radziewicz; Karnail Singh; Paul Spearman; Samuel Wu; Angela Branche; Hong Jin; Jamie Kidd; Biao He; Maria Cristina Gingerich; Marinka Tellier; Zhuo Li; Kristeene Knopp,"Department of Medicine, Infectious Disease Division, University of Rochester, Rochester NY 14642, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; Infectious Diseases, Cincinnati Children's Hospital and University of Cincinnati, 3333 Burnet Avenue, Cincinnati, OH 45229, USA.",
40613499,A pan-beta-coronavirus vaccine bearing conserved and asymptomatic B- and T-cell epitopes protects against highly pathogenic Delta and highly transmissible Omicron SARS-CoV-2 variants.,2025-Dec,Lbachir BenMohamed; Jeffrey B Ulmer; Daniel Gil; Hawa Vahed,"Department of Vaccines and Immunotherapies, TechImmune, LLC, University Lab Partners, Irvine, CA, USA.",
40613498,Hydrophobin-Fused SARS-CoV-2 RBD production in ,2025-Dec,Yago Kayan de Souza Lima; Natalia do Vale Canabrava; Eridan Orlando Pereira Tramontina Florean; Maria Izabel Florindo Guedes; Arnaldo Solheiro Bezerra; Bruno Bezerra da Silva; Cícero Matheus Lima Amaral; Daniel Freire Lima; Amauri Barbosa da Silva Junior,"Laboratory of Biotechnology and Molecular Biology, State University of Ceará, Fortaleza, Ceará, Brazil.",
40613193,[Interaction between COVID-19 Infection and Hematological Malignancies --Review].,2025-Jun,Jia-Yi Zhao; Zi-Heng Wang; Xiao-Feng Shi,"Nanjing Medical University, Nanjing 211166, Jiangsu Province, China.",
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025-Jul,Harold J Manley; Nien Chen Li; Antonia Harford; Monica M Shieu; Doug Johnson; Eduardo K Lacson,"Quality Analytics, Dialysis Clinic Inc., Nashville, TN.",
